day	day_of_year	in_gr	in_sp	in_wi	month	or_gr	or_sp	or_wi	up_gr	up_ot	up_sp	up_wi	zeros
20	170	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
21	171	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
22	172	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
23	173	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
24	174	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
25	175	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
26	176	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
27	177	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
28	178	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
29	179	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006197297	0
30	180	0.006024096	0	0	6	0.005555556	0	0	0.004178983	0.004178983	0.006922529	0.006298893	0
1	181	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
2	182	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
3	183	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
4	184	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
5	185	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
6	186	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
7	187	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
8	188	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
9	189	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006298893	0
10	190	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006197297	0
11	191	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006197297	0
12	192	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006197297	0
13	193	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006197297	0
14	194	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006197297	0
15	195	0.006024096	0	0	7	0.005555556	0	0	0.004280909	0.004280909	0.006922529	0.006197297	0
16	196	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006922529	0.006197297	0
17	197	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006922529	0.006197297	0
18	198	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006922529	0.006197297	0
19	199	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006922529	0.006197297	0
20	200	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006922529	0.006197297	0
21	201	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006197297	0
22	202	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006197297	0
23	203	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006197297	0
24	204	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006095703	0
25	205	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006095703	0
26	206	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006095703	0
27	207	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006095703	0
28	208	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006820727	0.006095703	0
29	209	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006718925	0.006095703	0
30	210	0.006024096	0	0	7	0.005555556	0	0	0.004382836	0.004382836	0.006718925	0.006095703	0
1	211	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006718925	0.005994108	0
2	212	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006718925	0.005994108	0
3	213	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006617123	0.005994108	0
4	214	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006617123	0.005994108	0
5	215	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006617123	0.005994108	0
6	216	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006617123	0.005892512	0
7	217	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006617123	0.005892512	0
8	218	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006515321	0.005892512	0
9	219	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006515321	0.005892512	0
10	220	0	0	0	8	0.005555556	0	0	0.004382836	0.004382836	0.006515321	0.005892512	0
11	221	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006515321	0.005790917	0
12	222	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006413519	0.005790917	0
13	223	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006413519	0.005790917	0
14	224	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006413519	0.005790917	0
15	225	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006413519	0.005689322	0
16	226	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006311718	0.005689322	0
17	227	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006311718	0.005689322	0
18	228	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006311718	0.005689322	0
19	229	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006311718	0.005587727	0
20	230	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006209915	0.005587727	0
21	231	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006209915	0.005587727	0
22	232	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006209915	0.005587727	0
23	233	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006108114	0.005486132	0
24	234	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006108114	0.005486132	0
25	235	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006108114	0.005486132	0
26	236	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006108114	0.005486132	0
27	237	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006006312	0.005384537	0
28	238	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006006312	0.005384537	0
29	239	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.006006312	0.005384537	0
30	240	0	0	0	8	0.005555556	0	0	0.004484762	0.004484762	0.00590451	0.005282942	0
1	241	0	0	0	9	0	0	0	0.004484762	0.004484762	0	0	0
2	242	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
3	243	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
4	244	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
5	245	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
6	246	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
7	247	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
8	248	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
9	249	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
10	250	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
11	251	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
12	252	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
13	253	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
14	254	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
15	255	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
16	256	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
17	257	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
18	258	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
19	259	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
20	260	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
21	261	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
22	262	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
23	263	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
24	264	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
25	265	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
26	266	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
27	267	0	0	0	9	0	0	0	0.004382836	0.004382836	0	0	0
28	268	0	0	0	9	0	0	0	0.004280909	0.004280909	0	0	0
29	269	0	0	0	9	0	0	0	0.004280909	0.004280909	0	0	0
30	270	0	0	0	9	0	0	0	0.004280909	0.004280909	0	0	0
1	271	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
2	272	0	0	0	10	0	0	0	0.004280909	0.004280909	0	0	0
