AGCENSUS_cat,AGCENSUS_group,AGCENSUS_subclass,QID,QDesc,LU_CODE,Detailed_Class,Summary_Class
glasshouses-area-of-which-is-raspberries,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-area-of-which-is-strawberries,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
glasshouses-area-of-which-is-tomatoes,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mixed-fruit,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
orchard-fruit,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
raspberries,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
soft-fruit,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
soft-fruits,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
strawberries,soft-fruit,#N/A,#N/A,#N/A,11,Fruit,Arable
total-soft-fruit,soft-fruit,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
beans-for-canning,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
brussels-sprouts,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
cabbages-all-other,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
cabbages-and-savoys,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
cabbages-summer-and-autumn,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
calabrese,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
carrots,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
cauliflower,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
glasshouses-area-of-which-is-vegetables,vegetables,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
leeks,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
lettuce,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
mixed-vegetables,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
other-vegetables,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
peas-for-canning,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
rhubarb,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
total-vegetables,vegetables,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
turnips-and-swedes,vegetables,#N/A,#N/A,#N/A,12,Vegetables,Arable
vegetables-for-human-consumption,vegetables,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
